"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","rooms_no_exclusive","rooms_one","rooms_two","overcrowding_gt2_ppr_lower_bound","water_tap","water_well","water_handpump_tubewell","water_surface","water_within_premises","water_away","bathroom_available","latrine_flush_or_water_closet","latrine_pit","drainage_closed","drainage_none","separate_kitchen_within_house","cooking_solid_fuel","cooking_clean_fuel","lighting_electricity","lighting_kerosene","lighting_solar","lighting_other_oil","lighting_other","lighting_none","latrine_available","banking","radio","television","telephone","bicycle","motorcycle","car","computer","computer_internet","households_owned","households_rented","structure_permanent","structure_semi_permanent","structure_temporary","structure_temporary_serviceable","structure_temporary_nonserviceable","structure_unclassifiable","census_year","no_exclusive_room_share_households","one_room_share_households","overcrowding_gt2_ppr_lower_bound_share_households","tap_water_share_households","well_water_share_households","handpump_tubewell_water_share_households","surface_water_share_households","water_within_premises_share_households","water_away_share_households","bathroom_share_households","flush_or_water_closet_latrine_share_households","pit_latrine_share_households","closed_drainage_share_households","no_drainage_share_households","separate_kitchen_within_house_share_households","solid_cooking_fuel_share_households","clean_cooking_fuel_share_households","electricity_share_households","kerosene_lighting_share_households","solar_lighting_share_households","no_lighting_share_households","latrine_share_households","banking_share_households","radio_share_households","television_share_households","telephone_share_households","bicycle_share_households","motorcycle_share_households","car_share_households","permanent_structure_share_households","semi_permanent_structure_share_households","temporary_structure_share_households","nonserviceable_temporary_structure_share_households","owned_share_households","rented_share_households","computer_share_households","internet_computer_share_households"
"pc2001__29__24",1,"Dakshina Kannada",TRUE,425291,8283,47218,97003,90718,185763,183427,37994,10517,337171,30556,392788,303791,89910,87088,217860,412632,238911,178706,386300,35795,1714,375,251,856,394069,368706,147263,285365,375945,69944,97610,47655,55233,23305,359286,55501,295018,125391,4146,2714,1432,736,2011,0.0194760763806429,0.111025156892575,0.213308064360638,0.43679033885034,0.431297629152745,0.089336477846933,0.0247289502952096,0.792800694112972,0.0718472763354973,0.923574681806105,0.714313258451272,0.211408188746059,0.204772732082268,0.512261016574534,0.970234498261191,0.561758889795458,0.420196994528452,0.908319244940523,0.084165900524582,0.0040301816873623,0.00201273951247499,0.926586737081199,0.866949923699302,0.346264087413089,0.670987629646524,0.883971210300712,0.164461509883821,0.229513439033509,0.112052688629668,0.69368502977961,0.294835771271906,0.00974861918074918,0.00336710628722451,0.844800383737253,0.130501233273218,0.129871076509966,0.054797773759614
"pc2001__29__25",1,"Kodagu",TRUE,138303,4335,22464,32490,25290,66724,46039,16972,5393,76018,17785,115072,92593,19804,28860,49684,130994,94874,41917,113931,22033,1116,211,158,854,112626,95808,65260,83016,104109,20075,22161,16963,10758,3308,93366,22511,76291,59313,2517,1082,1435,182,2011,0.0313442224680593,0.162425977744517,0.182859373983211,0.482447958468001,0.332885042262279,0.122716065450496,0.0389940926805637,0.549648236119245,0.128594462882222,0.832028227876474,0.669493792614766,0.143192844696066,0.208672263074554,0.359240218939575,0.947152267123634,0.685986565728871,0.303080916538325,0.823778226068849,0.159309631750577,0.00806923927897443,0.0061748479787134,0.814342422073274,0.692739853799267,0.471862504790207,0.600247283139194,0.752760243812499,0.145152310506641,0.160235135897269,0.122650990940182,0.551622162932113,0.42886271447474,0.0181991713845687,0.0103757691445594,0.675082970000651,0.162765811298381,0.0777857313290384,0.0239184977910819
"pc2001__30__01",1,"North Goa",TRUE,179085,5858,33147,47399,44657,150059,23190,461,1221,144020,8061,145704,131859,7870,71104,64201,165685,37931,133552,173951,4026,301,90,128,589,140924,156177,57581,146307,158921,41713,101378,44342,56266,23440,145651,26362,148890,27836,1284,548,736,1075,2011,0.0327107239578971,0.185090878633051,0.24936203478795,0.837920540525449,0.129491582209565,0.00257419661054806,0.0068179914565709,0.804199123321328,0.0450121450707764,0.813602479269621,0.736292821844376,0.0439456124186839,0.397040511488958,0.358494569617779,0.925175196135913,0.211804450400648,0.74574643325795,0.971332049026998,0.0224809448027473,0.00168076611664852,0.0032889410056677,0.786911243264372,0.872083089035933,0.321528882932686,0.816969595443504,0.88740542200631,0.232922913700198,0.566088728815925,0.247603093503085,0.831392913979395,0.155434570176173,0.00716977971354385,0.00410978027193791,0.813306530418516,0.147203841751124,0.314186001060949,0.130887567356283
"pc2001__31__01",1,"Lakshadweep",TRUE,10703,55,804,2099,2556,2168,7678,271,39,8956,213,10277,10424,43,1220,8096,7238,7035,1928,10669,22,4,0,5,3,10467,9127,2165,6855,10023,9027,4109,245,1501,327,8934,1582,10370,183,119,6,113,31,2011,0.00513874614594039,0.0751191254788377,0.238811548164066,0.202560029898159,0.717368961973278,0.0253200037372699,0.00364383817621228,0.836774736055312,0.0199009623470055,0.960198075305989,0.973932542277866,0.0040175651686443,0.113986732691769,0.756423432682426,0.676258992805755,0.65729234793983,0.180136410352238,0.996823320564328,0.00205549845837616,0.000373726992432028,0.000280295244324021,0.97795010744651,0.852751564981781,0.202279734653835,0.640474633280389,0.936466411286555,0.84340839017098,0.383911052975801,0.0228907782864617,0.968887227880034,0.0170980099037653,0.0111183780248528,0.0105577875362048,0.834719237596935,0.147809025506867,0.140241053910119,0.0305521816313183
"pc2001__32__01",1,"Kasaragod",TRUE,267762,4610,24778,62566,54611,36736,167502,40573,7297,195593,31854,230141,188258,57109,38367,164934,257398,190217,75845,237670,28514,794,380,194,210,245747,220790,75335,179664,239445,27736,34267,19438,32484,10378,240351,22502,233709,26811,6112,2540,3572,1130,2011,0.0172167820676571,0.0925374026187435,0.203953510953757,0.137196465517885,0.625562999977592,0.151526355494805,0.0272518131773739,0.730473330793765,0.118963855961638,0.859498360484311,0.703079600540779,0.213282691345299,0.143287695789544,0.615972393394134,0.96129398495679,0.710395799254562,0.283255278941747,0.887616614754894,0.106490091947326,0.00296531994831231,0.000784278575750106,0.917781462642197,0.824575555904124,0.281350602400639,0.670983933493177,0.894245636049925,0.103584526557166,0.127975590262995,0.0725943188353837,0.872823626952293,0.100129966163981,0.0228262412142126,0.0133402051075209,0.897629237905304,0.0840373167215662,0.121316691688888,0.0387583002815934
"pc2001__32__02",1,"Kannur",TRUE,543209,4650,23733,88368,61573,63652,441505,13746,3774,440610,39088,487484,412318,117871,186438,229089,528730,421465,119447,511167,30442,538,522,408,132,530436,470411,239332,423337,503214,66300,76530,44108,83940,32653,507341,28563,465667,71196,3684,1679,2005,2662,2011,0.00856024108584357,0.0436903659549087,0.113350478360999,0.117177734536799,0.812771879700079,0.0253051771969905,0.00694760211999433,0.811124263405061,0.0719575706588072,0.897415175374488,0.759041179361903,0.216990145597735,0.343215962916667,0.421732703250498,0.973345434261951,0.775880001988185,0.219891423006614,0.941013495726323,0.0560410449753226,0.000990410689071794,0.000243000392114269,0.976486030238822,0.865985283748981,0.440589165496153,0.77932618936726,0.926372722101438,0.122052469675576,0.140885000064432,0.0811989492073953,0.857251996929359,0.131065575128542,0.00678192003446187,0.00369102868325083,0.933970166179132,0.0525819712118172,0.154526158439937,0.0601113015432366
"pc2001__32__03",1,"Wayanad",TRUE,185403,2440,19130,41316,31322,41863,122091,6025,3431,111648,29882,137182,128405,41661,23644,113945,167055,158975,25246,149864,34645,545,242,80,27,170170,140037,48187,109972,155220,15359,22721,13027,15944,4712,166448,12409,140429,31820,7623,2757,4866,5531,2011,0.0131605205956754,0.103180638932488,0.16894009266301,0.225794620367524,0.658516852478115,0.0324967772905509,0.018505633673673,0.602190903059821,0.161173228049169,0.739912514899975,0.692572396347416,0.224705101859193,0.127527602034487,0.614580130850094,0.901037200045307,0.857456459712087,0.136168238917385,0.808314860061596,0.186863211490645,0.00293954251009962,0.000145628711509522,0.91783843842872,0.755311402728111,0.259904100796643,0.593151135634267,0.837203281500299,0.082841162224991,0.122549257563254,0.0702631564753537,0.75742571587299,0.171626133341963,0.0411158395495219,0.0262455300076051,0.897763250864333,0.0669298770785802,0.085996450974364,0.0254149069864026
"pc2001__32__04",1,"Kozhikode",TRUE,683825,7565,46926,194789,123580,143663,497861,14347,1894,542267,55550,590852,580454,88173,264645,289974,651180,531417,148895,641660,40466,715,592,270,122,668842,494865,228436,490719,632201,94227,149330,54277,107602,36791,638772,35910,604865,53234,21623,11377,10246,4103,2011,0.0110627719080174,0.0686228201659781,0.180718751142471,0.21008737615618,0.728053229993054,0.0209805140204,0.00276971447373231,0.79299089679377,0.0812342339048733,0.864039776258546,0.848834131539502,0.128940883998099,0.38700690966256,0.424047088070778,0.952261177932951,0.777124264248894,0.217738456476438,0.938339487441962,0.059175958761379,0.00104558914927065,0.00017840821847695,0.978089423463606,0.723671992103243,0.334056227836069,0.71760903739992,0.924507001060213,0.137794026249406,0.218374584140679,0.0793726465104376,0.884531861221804,0.0778474024787044,0.0316206631813695,0.0149833656271707,0.934116184696377,0.0525134354549775,0.157353123971776,0.0538017767703725
"pc2001__32__05",1,"Malappuram",TRUE,774595,6938,41519,193191,171485,115058,607597,25795,2061,628805,50719,669025,541316,212489,144785,424671,732628,628420,143291,730119,42603,715,683,297,178,754074,528229,207137,485406,720497,96908,138096,59145,119918,27909,719609,47021,678048,77854,15032,2732,12300,3661,2011,0.0089569387873663,0.0536009140260394,0.221386660125614,0.148539559382645,0.784406044449035,0.0333012735687682,0.00266074529270135,0.811785513720073,0.0654780885495001,0.863709422343289,0.698837456993655,0.274322710577786,0.186917034062962,0.548249085005713,0.945820719214557,0.811288479786211,0.18498828420013,0.942581607162453,0.0550003550242385,0.000923063020029822,0.000229797507084347,0.973507445826529,0.681942176234032,0.267413293398486,0.626657801819015,0.93015963180759,0.125107959643427,0.178281553586068,0.076356031216313,0.875358090356896,0.100509298407555,0.01940627037355,0.0158792659389746,0.92901322626663,0.0607039807899612,0.154813805924386,0.0360304417147025
"pc2001__32__06",1,"Palakkad",TRUE,628287,9394,64654,200800,144045,269352,303834,35861,4127,450438,53441,485666,335117,228307,72838,374754,580882,442997,181310,587583,38818,842,501,206,337,564142,473862,165350,447169,533223,101999,145549,43458,69440,27162,575878,39417,439287,163137,22408,6923,15485,3455,2011,0.0149517656739675,0.102905200967074,0.229266242974946,0.428708536067116,0.483591097698982,0.0570774184409354,0.00656865413417753,0.716930320060737,0.0850582615906425,0.773000237152766,0.53338203719001,0.363380111318553,0.115931095184207,0.596469447879711,0.924548812883284,0.705087006415858,0.288578308957531,0.935214320843818,0.0617838662904055,0.00134015187326811,0.000536379075167877,0.897904938348239,0.754212644858162,0.263175905278957,0.711727283868678,0.848693351923564,0.162344597293912,0.231660053446912,0.0691690262571086,0.699182061701102,0.259653629631044,0.0356652294254059,0.0246463797595685,0.916584299850228,0.0627372522430036,0.11052273881204,0.0432318351326703
"pc2001__32__07",1,"Thrissur",TRUE,743830,8007,49928,166886,100846,204494,469798,58189,1517,622975,34523,689354,527136,199982,188063,332822,715517,395615,344139,721625,20422,696,455,321,311,727823,555426,262620,616644,671105,248933,220583,84016,132774,56148,683102,48702,612150,104055,21822,3823,17999,5803,2011,0.010764556417461,0.0671228640952906,0.135576677466625,0.274920344702419,0.63159324039095,0.0782288963876154,0.0020394444967264,0.837523358831991,0.0464124867241171,0.926762835594155,0.70867805815845,0.268854442547356,0.252830619899708,0.447443636314749,0.961936195098342,0.531862119032575,0.462658134251106,0.970147748813573,0.0274551980963392,0.000935697672855357,0.000418106287727034,0.978480297917535,0.746710942016321,0.353064544317922,0.829012005431349,0.902229003939072,0.334663834478308,0.29655028702795,0.112950539773873,0.822970302354032,0.1398908352715,0.0293373485877149,0.0241977333530511,0.918357689256954,0.0654746380221287,0.178500463815657,0.0754849898498313
"pc2001__32__08",1,"Ernakulam",TRUE,791737,6084,42316,157403,77544,453148,320384,7550,1538,635670,38103,715286,570129,200176,323158,303964,763705,278461,505175,771287,18835,675,414,322,204,774743,620488,269428,696129,741106,250078,322394,135307,184167,88737,689970,88824,741569,36641,7029,1281,5748,6498,2011,0.00768436993597621,0.0534470411260305,0.097941614450253,0.572346625205087,0.40465962813409,0.0095359949073998,0.00194256426060674,0.80288024937574,0.0481258296631331,0.903438894481374,0.720098972259728,0.252831432660088,0.408163316859007,0.383920418017599,0.96459430341136,0.351708963961518,0.638059102959695,0.974170715780619,0.0237894654411755,0.000852555836092036,0.00025766131935226,0.97853580166141,0.783704689814926,0.340299872306081,0.879242728330241,0.936050734018999,0.31585993833811,0.40719834995712,0.170898922243119,0.936635524170274,0.0462792568744419,0.00887794810650506,0.00725998658645485,0.871463629968032,0.112188769755613,0.232611334319351,0.112078884781184
"pc2001__32__09",1,"Idukki",TRUE,276976,3208,37093,73948,49358,83659,111718,11282,20049,114778,75292,193006,159049,86976,39162,167378,255998,217471,58250,244844,27149,4170,304,308,201,246878,212188,67489,207519,247060,19378,35855,21976,24863,8250,222531,26014,216101,44218,7507,3376,4131,9150,2011,0.0115822309514182,0.133921350586332,0.178203165617238,0.302044220437872,0.403349026630466,0.0407327710704177,0.0723853330252441,0.414396915256195,0.271835826930853,0.696832938593958,0.574233868638438,0.314019987291318,0.141391311882618,0.604305066142915,0.924260585754722,0.785161891282999,0.210307030212004,0.883989948587603,0.0980193229738317,0.0150554560683958,0.000725694645023396,0.891333545144706,0.766088036508578,0.243663710935243,0.749230980301542,0.891990641788458,0.0699627404540466,0.129451649240367,0.0793426145225579,0.780215614349258,0.159645601062908,0.027103431344232,0.0149146496447346,0.803430622147767,0.0939214950031772,0.0897659002946104,0.0297859742360349
"pc2001__32__10",1,"Kottayam",TRUE,480453,3996,28169,130466,64873,110023,335938,7562,4067,350435,58162,401436,313926,149689,156401,230031,460583,286281,191233,464039,15074,628,337,251,124,464124,383372,117604,406922,451226,76041,122177,73096,83999,37849,434540,37276,411437,48450,5033,1864,3169,15533,2011,0.00831715068903722,0.0586300845243968,0.135024653816294,0.228998466031017,0.699210952996443,0.0157393126903152,0.00846492789096956,0.729384559988178,0.121056586180126,0.83553646246355,0.653395857659334,0.311558050423246,0.325528199428456,0.47877940193942,0.958643197149357,0.595856410512579,0.398026445875039,0.965836408556092,0.0313745569285653,0.00130709975793678,0.000258089761121275,0.966013324924602,0.797938612101496,0.244777324733116,0.846954853024125,0.939167827029907,0.158269383269539,0.254295425358984,0.152139751442909,0.856352234245597,0.100842330051014,0.010475530384866,0.00659585849188162,0.904438103206765,0.0775851123835214,0.17483291810021,0.0787777368441866
"pc2001__32__11",1,"Alappuzha",TRUE,528275,4815,40870,154349,81052,184698,241974,75715,10829,384239,59658,391928,335696,151761,119615,332736,483366,245760,277713,507913,18941,553,345,288,235,490935,360849,127759,425707,466736,229196,144891,42404,71593,28842,496464,24772,463598,46148,11896,4103,7793,6633,2011,0.00911457100941744,0.0773650087549098,0.15342766551512,0.349624721972458,0.45804552553121,0.143324972788794,0.0204987932421561,0.727346552458473,0.112929818749704,0.741901471771331,0.635456911646396,0.287276513179689,0.226425630590128,0.629853769343618,0.914989352136671,0.46521224740902,0.525697789976811,0.961455681226634,0.0358544318773366,0.00104680327480952,0.00044484406795703,0.929317117031849,0.683070370545644,0.24184184373669,0.805843547394823,0.883509535753159,0.433857365955232,0.274271922767498,0.0802687993942549,0.877569447730822,0.0873560172258767,0.0225185746060291,0.0147517864748474,0.939783256826463,0.046892243623113,0.135522218541479,0.0545965642894326
"pc2001__32__12",1,"Pathanamthitta",TRUE,319968,3607,20661,94934,43100,61113,238028,4279,2645,255020,27305,244688,161531,138460,86098,177205,296269,187808,130388,302296,16556,500,307,201,108,300484,249188,89930,255822,291089,56968,80551,43382,49466,21015,297094,17088,264525,42141,4631,1854,2777,8671,2011,0.01127300230023,0.0645720822082208,0.13470097009701,0.190997224722472,0.743911891189119,0.0133732123212321,0.00826645164516452,0.797017201720172,0.0853366586658666,0.764726472647265,0.504834858485849,0.432730773077308,0.269083158315832,0.55382100710071,0.925933218321832,0.586958695869587,0.407503250325032,0.944769476947695,0.0517426742674267,0.00156265626562656,0.000337533753375338,0.939106410641064,0.778790379037904,0.281059355935594,0.799523702370237,0.909744099409941,0.178042804280428,0.25174704970497,0.135582308230823,0.826723297329733,0.131703795379538,0.0144733223322332,0.00867899289928993,0.928511601160116,0.0534053405340534,0.154596709670967,0.0656784428442844
"pc2001__32__13",1,"Kollam",TRUE,663276,7546,51346,172611,90779,179861,457104,5294,3416,568555,30236,481180,376782,247868,127880,436735,626435,392187,266875,630767,30323,890,702,310,284,626758,460855,124857,525754,569631,157906,144080,58867,83133,31542,597009,51410,557994,80061,16918,9177,7741,8303,2011,0.0113768627238133,0.0774127210995121,0.136864593321634,0.271170674048209,0.689161073218389,0.00798159438906277,0.00515019388610473,0.857192179424553,0.0455858496312244,0.725459687973031,0.568062164166953,0.373702651686477,0.192800583769049,0.65845138373769,0.94445600323244,0.591287789698406,0.402358897351932,0.950987221006037,0.0457170167471761,0.00134182451950621,0.000428177711842431,0.944942979996261,0.694816335884308,0.188242903406727,0.7926624813803,0.858814430191956,0.23806982312039,0.217224805360061,0.0887518921233393,0.841269697682413,0.12070540770358,0.0255067272146135,0.0116708579837051,0.900091364680766,0.0775092118514766,0.125336963797876,0.0475548640384998
"pc2001__32__14",1,"Thiruvananthapuram",TRUE,828774,10983,70100,205492,113971,316393,471526,17578,4363,698056,47323,550140,515518,263044,176947,555577,783957,471263,349656,783872,41725,1262,970,510,435,780821,558316,264663,658734,697741,136964,220675,96456,155321,71621,727418,83983,617129,157020,46832,28848,17984,7793,2011,0.0132521049164187,0.0845827692471048,0.137517586217714,0.381760286881587,0.568944006448079,0.0212096421943739,0.0052644025995024,0.842275457482981,0.0571000055503672,0.663799781363798,0.62202482220726,0.31738930034002,0.213504525962446,0.670360074037072,0.9459237379551,0.568626670238207,0.421895474520195,0.945821176822632,0.0503454500261833,0.00152273116675957,0.000524871677924259,0.942139835467811,0.673664955705657,0.319342788263145,0.794829471001745,0.84189537799207,0.165260975851076,0.266266798910197,0.116383959921523,0.744628813162575,0.189460576707281,0.0565075641851699,0.0216995224271032,0.877703692442089,0.101334018683019,0.18741056065948,0.086418010217502
