"panel_unit_id","dist91_state_id","dist91_district_id","state_code_2001","district_code_2001","preferred_vanneman_pretrend_eligible","pretrend_geography_status","period_id","start_year","end_year","measure_id","domain","label","contains_estimated_source","start_value","end_value","change","population_1961"
"1624","13","24",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.8059287991801,14.0661229621061,0.260194162926,990464
"1625","13","25","23","29",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.4373930713743,13.6869166700624,0.2495235986881,685150
"1626","13","26","23","30",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.1555486059152,13.375991127891,0.2204425219758,516871
"1627","13","27","23","31",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.1005532564404,13.3976089360096,0.297055679569201,489213
"1629","13",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.5323529015554,13.8953277017386,0.362974800183199,753401
"1630","13","30","23","34",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,12.9273844530373,13.2231602956741,0.2957758426368,411426
"1631","13","31","23","35",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.236427506492,13.5092516666061,0.272824160114101,560412
"1632","13","32",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.3367906521071,13.6019633144484,0.2651726623413,619576
"1633","13","33",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.0575347430418,14.3378872109799,0.280352467938101,1273825
"1634","13","34","23","40",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,12.9297635800007,13.1601792580886,0.230415678087901,412406
"1635","13","35",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.4364483064622,13.6803515557874,0.2439032493252,684503
"1636","13","36","23","43",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.5741202932918,13.8048671169658,0.230746823674,785535
"1637","13","37","23","44",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.1687525663,13.4125702598392,0.243817693539199,523741
"1638","13","38","23","45",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.6007096101584,13.7928384777229,0.192128867564499,806702
"1639","13",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.8515898034094,14.098008465826,0.2464186624166,1036738
"1640","13","40",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.5194952994347,14.7079027818635,0.188407482428801,2021793
