"harmonized_component_id","vintage","state_code","district_code","unit_id","side"
"geo_component_0163",1991,"13","11","census1991__13__11","source"
"geo_component_0163",1991,"13","19","census1991__13__19","source"
"geo_component_0163",2001,"23","12","census2001__23__12","target"
"geo_component_0163",2001,"23","22","census2001__23__22","target"
"geo_component_0164",1991,"13","12","census1991__13__12","source"
"geo_component_0164",2001,"23","13","census2001__23__13","target"
"geo_component_0165",1991,"13","13","census1991__13__13","source"
"geo_component_0165",2001,"23","14","census2001__23__14","target"
"geo_component_0166",1991,"13","14","census1991__13__14","source"
"geo_component_0166",2001,"23","15","census2001__23__15","target"
"geo_component_0166",2001,"23","16","census2001__23__16","target"
"geo_component_0167",1991,"13","15","census1991__13__15","source"
"geo_component_0167",2001,"23","17","census2001__23__17","target"
"geo_component_0168",1991,"13","16","census1991__13__16","source"
"geo_component_0168",2001,"23","18","census2001__23__18","target"
"geo_component_0168",2001,"23","19","census2001__23__19","target"
"geo_component_0169",1991,"13","17","census1991__13__17","source"
"geo_component_0169",2001,"23","20","census2001__23__20","target"
"geo_component_0170",1991,"13","18","census1991__13__18","source"
"geo_component_0170",2001,"23","21","census2001__23__21","target"
"geo_component_0171",1991,"13","20","census1991__13__20","source"
"geo_component_0171",2001,"23","23","census2001__23__23","target"
"geo_component_0172",1991,"13","21","census1991__13__21","source"
"geo_component_0172",2001,"23","24","census2001__23__24","target"
"geo_component_0173",1991,"13","22","census1991__13__22","source"
"geo_component_0173",2001,"23","25","census2001__23__25","target"
"geo_component_0174",1991,"13","23","census1991__13__23","source"
"geo_component_0174",2001,"23","26","census2001__23__26","target"
"geo_component_0175",1991,"13","24","census1991__13__24","source"
"geo_component_0175",2001,"23","27","census2001__23__27","target"
"geo_component_0175",2001,"23","28","census2001__23__28","target"
"geo_component_0176",1991,"13","25","census1991__13__25","source"
"geo_component_0176",2001,"23","29","census2001__23__29","target"
"geo_component_0177",1991,"13","26","census1991__13__26","source"
"geo_component_0177",2001,"23","30","census2001__23__30","target"
"geo_component_0178",1991,"13","27","census1991__13__27","source"
"geo_component_0178",2001,"23","31","census2001__23__31","target"
"geo_component_0179",1991,"13","28","census1991__13__28","source"
"geo_component_0179",2001,"23","32","census2001__23__32","target"
"geo_component_0180",1991,"13","29","census1991__13__29","source"
"geo_component_0180",2001,"23","33","census2001__23__33","target"
"geo_component_0181",1991,"13","30","census1991__13__30","source"
"geo_component_0181",2001,"23","34","census2001__23__34","target"
"geo_component_0182",1991,"13","31","census1991__13__31","source"
"geo_component_0182",2001,"23","35","census2001__23__35","target"
"geo_component_0183",1991,"13","32","census1991__13__32","source"
"geo_component_0183",2001,"23","36","census2001__23__36","target"
"geo_component_0183",2001,"23","37","census2001__23__37","target"
"geo_component_0184",1991,"13","33","census1991__13__33","source"
"geo_component_0184",2001,"23","38","census2001__23__38","target"
"geo_component_0184",2001,"23","39","census2001__23__39","target"
"geo_component_0185",1991,"13","34","census1991__13__34","source"
"geo_component_0185",2001,"23","40","census2001__23__40","target"
"geo_component_0186",1991,"13","35","census1991__13__35","source"
"geo_component_0186",2001,"23","41","census2001__23__41","target"
"geo_component_0186",2001,"23","42","census2001__23__42","target"
"geo_component_0187",1991,"13","36","census1991__13__36","source"
"geo_component_0187",2001,"23","43","census2001__23__43","target"
"geo_component_0188",1991,"13","37","census1991__13__37","source"
"geo_component_0188",2001,"23","44","census2001__23__44","target"
"geo_component_0189",1991,"13","38","census1991__13__38","source"
"geo_component_0189",2001,"23","45","census2001__23__45","target"
"geo_component_0190",1991,"13","39","census1991__13__39","source"
"geo_component_0190",2001,"22","01","census2001__22__01","target"
"geo_component_0190",2001,"22","02","census2001__22__02","target"
"geo_component_0191",1991,"13","40","census1991__13__40","source"
"geo_component_0191",1991,"13","42","census1991__13__42","source"
"geo_component_0191",2001,"22","05","census2001__22__05","target"
"geo_component_0191",2001,"22","06","census2001__22__06","target"
"geo_component_0191",2001,"22","07","census2001__22__07","target"
"geo_component_0191",2001,"22","08","census2001__22__08","target"
"geo_component_0191",2001,"22","09","census2001__22__09","target"
"geo_component_0192",1991,"13","41","census1991__13__41","source"
"geo_component_0192",2001,"22","03","census2001__22__03","target"
"geo_component_0192",2001,"22","04","census2001__22__04","target"
"geo_component_0193",1991,"13","43","census1991__13__43","source"
"geo_component_0193",2001,"22","10","census2001__22__10","target"
